,street_name,incident_count
189,HOLLY_LN,1
190,CHURCH_ST’,1
191,(WIA_SSSS_CHURCH_ST,1
192,COLE_AVE_+_SCHOOL_ST,1
193,1S-9220,1
194,OBLONG_RD_+_WOODCOCK_RD,1
195,BRIDGES_ED,1
196,TACONIC_TRL_+_COLD_SPRING_RD,1
197,HALL_ST_+_COLE_AVE,1
198,S2,1
199,BENEDICT_RD,1
200,COLD_SPRENG_RD,1
201,HATER_ST,1
202,LINDEN_ST_+_COLE_AVE,1
203,HTLL_PROVINCE_RD,1
204,LYNDE_LW,1
205,SPRING_STP,1
206,PINES_LODGE,1
207,PENT,1
208,LATHAM_ST_+_SPRING_ST,1
209,MAIN_ST_+_COLONIAL_AVE,1
210,BROOK_RD_+_WHITE_OARS_RD,1
211,CLUETT_DR,1
212,MISTON_PARK_DR,1
213,BRIDGES,1
214,CHAPIN_HAL,1
215,ROARING_BROOK_RD,1
216,BRIDGES_RD_+_SAND_SPRINGS_RD,1
217,COLE_AVE_+_MOORLAND_ST,1
218,THORNLIEBANK_CIR,1
219,BOLKLEY_ST,1
220,MAIN_ST_+_STETSON_CT,1
221,WILLOWS_LN,1
222,NORTH_ST_+_MAIN_ST,1
223,MEACHAM_ST_+_WATER_ST,1
224,HAWTHORNE,1
225,WILLIAMS_COLLEGE,1
226,CHAPIN_HALE_DR,1
227,MAIN_ST_+_WATER_ST,1
228,OLD_SPRUCES,1
229,SWEET_FARM_RD,1
230,MAIN_ST_+_SPRING_ST,1
231,COLE_SPRING_RD,1
232,PARK_ST_+,1
233,BRIDGES_RD_+_NORTH_HOOSAC_RD,1
234,"UPEN_CAILBACK,",1
235,MAIN_ST_+_ADAMS_RD,1
236,MCCAULEY_LN,1
237,MAIN_ST_+_PARK_ST,1
238,ORCHARD_LN,1
239,SAND_SPRINGS_RD_+_SIMONDS_RD,1
240,MIT,1
241,WEST_MAIN_AT_FIELD_PARK,1
242,PROSPECT_ST,1
243,SPRING_ST_MUNICIPLE_LOT,1
244,MCLAIN_CC?,1
245,HANCOCK,1
246,OLD_SPRUCES_POND,1
247,ADAMS_RD_+,1
248,COLD_SPRING_RD_+_WOODCOCK_RD,1
249,JEROME_DR,1
250,COLE_AVE_+_PROSPECT_ST,1
251,WILLIAMS_COLLEGE_LACROSS_FIELD,1
252,STORE_AT_S_CORNERS,1
253,BELDEN_ST_+_BRYANT_ST,1
254,FALL_ST,1
255,WALNUT_ST,1
256,IFIA_10171_STRATTON_RD,1
257,COLE'S_GROVE_RD,1
258,SOUTHHWORTH_ST,1
259,LAWRENCE_HALE_DR,1
260,BULELEY_ST,1
261,HOODLAWN_DR,1
262,NORTHWEST_HILL_RD_+_BULKLEY_ST,1
263,NEW_ASHFORD,1
264,NORTH_HOOSAC_RD_+_CHESTNUT_ST,1
265,KNOLLS_RD,1
266,FINE_COBBLE_RD,1
267,COLLEGE,1
268,PETERSBURG_ED,1
269,CLARK_ART_NORTH_PARKING_LOT,1
270,CHURCH_ST_+_COLE_AVE,1
271,JAMIESON_HTS,1
272,WATERMAN_PIL,1
273,WILLSHIRE_DR,1
274,WHITE_OAKS,1
275,MT_HOPE_FARM,1
276,ORLONG_RD,1
277,CENTER_OF_TOWN,1
278,NEW_ASHFORD_RD_+_GREEN_RIVER_RD,1
279,SAND_SPRINGS_RD_+_BRIDGES_RD,1
280,SUNSET_DR,1
281,COLD_SPRING_RD_+_NEW_ASHFORD_RD,1
282,ARNOLD_ST_+_ELM_ST,1
283,BETWEEN_MA_S_MD,1
